ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-02-27T12:31:20Z,195141,Заберу - Frost & Robby Mond & Wonder's Radio Remix,IVAN VALEEV,Заберу,spotify:track:1e8jECsHc9vFILqHPkYdGt,,,,,,,,clickrow,trackdone,False,False,False,,False
2021-02-27T12:32:59Z,94378,Даже не половина,Zomb,Даже не половина,spotify:track:6dtYJ5yiTP5wTZxRRLc4Qm,,,,,,,,trackdone,fwdbtn,True,False,False,,False
2021-02-27T12:33:01Z,1497,Не влюбляйся,Mary Gu,Не влюбляйся,spotify:track:3UUaEm1droO3aEcLtlpl2w,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:33:02Z,332,Sayonara детка,Eldzhey,Sayonara детка,spotify:track:2zsWlV90zLETy5eAJ1OrNi,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:33:09Z,5896,Чувства,Artik & Asti,7 (Part 2),spotify:track:4SeVzSu4SuWKYvOjmEPqfF,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:33:13Z,2460,Бэнгер,FEDUK,Бэнгер,spotify:track:1jIayUE3DdKQUG37wjz8Ld,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:33:14Z,686,В жизни так бывает - Многоточие Remake,Mohito,Refresh,spotify:track:3SUhL66zHTtIhUK4EsywID,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:09Z,172807,Малиновый свет,Lesha Svik,Малиновый свет,spotify:track:1QfaAxo8MQkHZ6jYl9w2j4,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:13Z,3288,Сопрано,МОТ,Добрая Музыка Клавиш,spotify:track:5kLSshBGFxK7aSLF5yT1Kc,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:14Z,0,Трогать запрещено,HANNA,Трогать запрещено,spotify:track:42yndiNCCTbXViWovB3iBK,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:15Z,0,Дисконнект,Eldzhey,Sayonara Boy,spotify:track:2ljYT3DjHXVrygwDbNjm4n,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:19Z,2288,Балкон,ELMAN,Муза,spotify:track:7uLVwaapogE64L0uXdAZAy,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:21Z,615,Одинокая луна,Artem Kacher,Одинокая луна,spotify:track:4JXSPtXU2BG0sJjclyeKG4,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:23Z,0,Половина моя,MiyaGi & Endspiel,"Hajime, Pt. 1",spotify:track:7JkZDPNcF5mJ0Vx2QXO582,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:23Z,1064,Санавабич,MiyaGi & Endspiel,"Hajime, Pt. 1",spotify:track:02ovSpsK9C4DioTccbNOim,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:27Z,1947,27,FEDUK,27,spotify:track:1SccjD8RvJ6vegZLFdgy5a,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:28Z,688,Coco L'Eau,Egor Kreed,Coco L'Eau,spotify:track:5weiiB92gNV7QHFYQXqxZ8,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:36Z,918,Когда исчезнет Слово,МОТ,Добрая Музыка Клавиш,spotify:track:2hxNNlZHxgda03EdP8in65,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:38Z,0,Шаманы,МОТ,Шаманы,spotify:track:4bd5oaX7o9DFQy5ix2xpPz,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:38Z,0,А если это любовь?,HammAli & Navai,А если это любовь?,spotify:track:1ose449N3hm96087FUw3Hl,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:38Z,0,Медуза,MATRANG,ЭЙА,spotify:track:1sZsTb461mhIAQ8o0gzxsI,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:38Z,0,Гудки,МОТ,Гудки,spotify:track:5MTWXgX4SGBPUiZoeeSGtE,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:38Z,0,Веселая песня,Egor Kreed,58,spotify:track:5EuCh2ShBqepkVjFZv1AtO,,,,,,,,fwdbtn,backbtn,True,False,False,,False
2021-02-27T12:36:38Z,0,Девочка танцуй,Artik & Asti,7 (Part 2),spotify:track:0LYYnnXoORfx9ldA3vBPzg,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:44Z,5736,Шаманы,МОТ,Шаманы,spotify:track:4bd5oaX7o9DFQy5ix2xpPz,,,,,,,,backbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:47Z,2177,Веселая песня,Egor Kreed,58,spotify:track:5EuCh2ShBqepkVjFZv1AtO,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:49Z,0,Под гипнозом,Artik & Asti,7 (Part 1),spotify:track:0A6LFxKbCps3m3vrs4Np5V,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:49Z,577,Прятки,HammAli & Navai,Прятки,spotify:track:5a7OCEcoQQ57l2xhWChk1T,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:50Z,0,Как к себе домой - LA LA LA LA,МОТ,Как к себе домой,spotify:track:0DR1OfkK7H0OyqaV2jxJyD,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:36:59Z,6702,А уже фсё,Mitchel,А уже фсё,spotify:track:1kEHMUI2SLJvzcpRMtCfd2,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:39:18Z,138296,Пряталась в ванной,Mari Kraimbrery,Пряталась в ванной,spotify:track:3vvmbAAGAbNhLTM5h6vPvN,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T12:39:23Z,4101,Улыбка,PIZZA,ОСНОВАНО НА НЕРЕАЛЬНЫХ СОБЫТИЯХ,spotify:track:04hrsz4upf6HWLItviCXdb,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T21:05:16Z,1851,Улыбка,PIZZA,ОСНОВАНО НА НЕРЕАЛЬНЫХ СОБЫТИЯХ,spotify:track:04hrsz4upf6HWLItviCXdb,,,,,,,,fwdbtn,fwdbtn,True,False,True,1614429817130.0,False
2021-02-27T21:05:16Z,1380,Улыбка,PIZZA,ОСНОВАНО НА НЕРЕАЛЬНЫХ СОБЫТИЯХ,spotify:track:04hrsz4upf6HWLItviCXdb,,,,,,,,fwdbtn,logout,True,False,True,1614429819655.0,False
2021-02-27T21:05:16Z,6860,Ты не моя,Gafur,Калейдоскоп,spotify:track:1YUuiwxzEcHAuBUbxZsl7U,,,,,,,,clickrow,logout,True,False,False,,False
2021-02-27T21:05:16Z,144330,Ковчег,МОТ,Ковчег,spotify:track:5xN1qkHdcOgwZSiyNuvg38,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2021-02-27T21:05:16Z,1568,Улыбка,PIZZA,ОСНОВАНО НА НЕРЕАЛЬНЫХ СОБЫТИЯХ,spotify:track:04hrsz4upf6HWLItviCXdb,,,,,,,,fwdbtn,fwdbtn,True,False,True,1614429811292.0,False
2021-02-27T21:05:16Z,3057,Улыбка,PIZZA,ОСНОВАНО НА НЕРЕАЛЬНЫХ СОБЫТИЯХ,spotify:track:04hrsz4upf6HWLItviCXdb,,,,,,,,fwdbtn,fwdbtn,True,False,True,1614429813493.0,False
2021-02-27T21:05:16Z,0,Цвет настроения чёрный,Egor Kreed,Цвет настроения чёрный,spotify:track:7dKiNStdWrS78TqDVBNBdv,,,,,,,,playbtn,endplay,True,False,False,,False
2021-02-27T21:07:03Z,53411,Вечера,Rauf & Faik,Я люблю тебя,spotify:track:35f9xdHwGxEgabSHLkBYif,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-27T21:07:45Z,40417,Запомни I love you,SHAMI,Запомни I love you,spotify:track:70rwORUqSNV96x6Fxv5AVP,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-27T21:07:58Z,11591,Arcade,Duncan Laurence,Small Town Boy,spotify:track:1J14CdDAvBTE1AJYUOwl6C,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-27T21:36:00Z,0,Белла,DONI,Белла,spotify:track:2wQmncK8ojxRDBAhbmXBBJ,,,,,,,,playbtn,logout,True,False,False,,False
2021-02-27T21:36:00Z,24863,Spaceman,Nick Jonas,Spaceman,spotify:track:3TG88ES1Z5sMfuondaDZXV,,,,,,,,clickrow,logout,True,False,False,,False
2021-02-27T21:39:01Z,36887,О мама!,SUNAMI,О мама!,spotify:track:7dPxYAWzyP05hcdyoZ6NIl,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-27T21:40:31Z,48790,Вечный сон,SUNAMI,Вечный сон,spotify:track:2gTxoeWFDjNZ6Nc6tjPi8J,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-27T21:40:51Z,9105,Dollar,Xcho,CROSS,spotify:track:4jJtGIP9KqsWQA77LqmZ6Q,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:33:36Z,23840,Моя Вера,SHAMI,Моя Вера,spotify:track:7EmoCZJsd6E1p47Ef1qhgw,,,,,,,,clickrow,logout,True,False,False,,False
2021-02-28T07:35:54Z,79954,Это не хит,ASAMMUELL,Это не хит,spotify:track:4nOr5ldqCcoO7qC1HLlJLY,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:36:31Z,14893,Под ногами рай матерей наших,SHAMI,Под ногами рай матерей наших,spotify:track:504rBZUzpQRdAxZtl1nn97,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:36:52Z,18958,И снова седая ночь,IVAN VALEEV,Молодость,spotify:track:5dGn1EhO6WWzoMHdrbxiLo,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:37:36Z,40893,Обилие,Mr Lambo,Обилие,spotify:track:1ac58rrhgpoid0edZ27Lbu,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:37:37Z,0,Лучший кайф,Jay Leemo,Лучший кайф,spotify:track:214FIWEw8XfEttu79DJiMJ,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:37:59Z,19887,Лучший кайф,Jay Leemo,Лучший кайф,spotify:track:214FIWEw8XfEttu79DJiMJ,,,,,,,,clickrow,fwdbtn,True,False,False,,False
2021-02-28T07:38:01Z,811,Улыбка,PIZZA,ОСНОВАНО НА НЕРЕАЛЬНЫХ СОБЫТИЯХ,spotify:track:04hrsz4upf6HWLItviCXdb,,,,,,,,fwdbtn,backbtn,True,False,False,,False
2021-02-28T07:38:05Z,2231,Лучший кайф,Jay Leemo,Лучший кайф,spotify:track:214FIWEw8XfEttu79DJiMJ,,,,,,,,backbtn,endplay,True,False,False,,False
2021-02-28T07:38:15Z,9297,Венера-Юпитер,Ваня Дмитриенко,Венера-Юпитер,spotify:track:0Ot69EEAbZaZohRSYYu0I7,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:38:36Z,16786,где солнца нет,Rauf & Faik,PAIN & MEMORIES,spotify:track:3z9wshmvjFtO3SjTsDmvGa,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:39:58Z,64400,Нагло,Zomb,Нагло,spotify:track:09OBMcoStDAkuHiN0gXuDO,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:41:02Z,29905,Careless,Coastal,Careless,spotify:track:3v1O6lndJhBf7BXgnNs42x,,,,,,,,playbtn,endplay,True,False,False,,False
2021-02-28T07:41:32Z,27475,I Want Love (with Two Feet),Gryffin,I Want Love (with Two Feet),spotify:track:2ybp2K0VO9sbtGFCfO8tp1,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:42:27Z,16025,Kiss Me,Frank Walker,Kiss Me,spotify:track:4RG63cZOJT5njECPKYMhUU,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:42:46Z,7180,Французский поцелуй,Misha Marvin,Французский поцелуй,spotify:track:3naDOUjpQLrWSmerZJBjQk,,,,,,,,playbtn,endplay,True,False,False,,False
2021-02-28T07:42:49Z,266,ДНК (feat. Артем Качер),Geegun,ДНК (feat. Артем Качер),spotify:track:6hbRqQY3HFvSRQ9WulYH3d,,,,,,,,playbtn,endplay,True,False,False,,False
2021-02-28T07:44:12Z,79201,ДНК (feat. Артем Качер),Geegun,ДНК (feat. Артем Качер),spotify:track:6hbRqQY3HFvSRQ9WulYH3d,,,,,,,,playbtn,endplay,True,False,False,,False
2021-02-28T07:44:59Z,44883,drivers license,Olivia Rodrigo,drivers license,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,,,,,,,,clickrow,endplay,True,False,False,,False
2021-02-28T07:45:02Z,2755,Save Your Tears,The Weeknd,After Hours,spotify:track:5QO79kh1waicV47BqGRL3g,,,,,,,,clickrow,endplay,True,False,False,,False
2021-03-01T06:10:58Z,71200,Blinding Lights,The Weeknd,After Hours,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,,,,,,,,clickrow,logout,True,False,False,,False
2021-03-01T06:12:19Z,30000,Как ты там?,Nebezao,Как ты там?,spotify:track:6NULlHTu9eamRNjdHXpO1A,,,,,,,,clickrow,endplay,True,False,False,,False
2021-03-01T06:12:27Z,7062,ЧЁРНЫЙ БУМЕР,DAVA,КОРОЛЬ,spotify:track:4CCJrILAMt8WyYuJmgJm3y,,,,,,,,clickrow,endplay,True,False,False,,False
2021-03-01T06:13:10Z,41705,Rolls Royce,Geegun,Rolls Royce,spotify:track:22XFe65IH0P2RY0uowBqdI,,,,,,,,clickrow,endplay,True,False,False,,False
2021-03-01T06:13:37Z,26032,Красивая,Andro,MOON FLAME,spotify:track:3Zlen4WduwrQpW0XW36M8w,,,,,,,,clickrow,endplay,True,False,False,,False
2021-03-01T06:15:42Z,124444,Супергерой,Andro,MOON FLAME,spotify:track:6ePtVsoNKOqdvJhn0ILCy9,,,,,,,,clickrow,trackdone,True,False,False,,False
2021-03-01T06:17:59Z,133748,Ночной рейс,Andro,MOON FLAME,spotify:track:3JTmWb7MMwkfDvULuCHBcV,,,,,,,,trackdone,trackdone,True,False,False,,False
2021-03-01T06:21:12Z,195600,Инопланетянин,Andro,MOON FLAME,spotify:track:6mSF0j5byEYGiGRIR7hRpl,,,,,,,,trackdone,trackdone,True,False,False,,False
2021-03-01T06:23:54Z,159522,Иса,Andro,MOON FLAME,spotify:track:3UhxFvqG58SkVZuyJdCcLs,,,,,,,,trackdone,trackdone,True,False,False,,False
2021-03-01T06:24:57Z,63049,7:00,Andro,MOON FLAME,spotify:track:1A4jOGLFRXvmw2B6KkKtK5,,,,,,,,trackdone,endplay,True,False,False,,False
2021-03-01T06:26:58Z,117376,Как тебя забыть,HammAli & Navai,Как тебя забыть,spotify:track:0cCh4NLVVMMmHhuYlE5fwg,,,,,,,,clickrow,fwdbtn,True,False,False,,False
2021-03-01T06:28:06Z,69607,Пряталась в ванной,Mari Kraimbrery,Пряталась в ванной,spotify:track:3vvmbAAGAbNhLTM5h6vPvN,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:09Z,2218,скандалы,Rauf & Faik,скандалы,spotify:track:2GAXqQdEnbyIkdUinobwt0,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:10Z,45,Босая,#2Mashi,Теперь нас много,spotify:track:7I5liaSLy4pr9fC1hdIj8f,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:14Z,0,Пустите меня на танцпол,HammAli & Navai,JANAVI,spotify:track:1yC81utmc3tVV3E6CMK5cG,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:14Z,461,Кайфули,Gunwest,Кайфули,spotify:track:09qYn7573SirEAdyohz50z,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:15Z,815,Coco L'Eau,Egor Kreed,Coco L'Eau,spotify:track:5weiiB92gNV7QHFYQXqxZ8,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:17Z,155,Rolls Royce,Geegun,Rolls Royce,spotify:track:22XFe65IH0P2RY0uowBqdI,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:18Z,0,Между строк,Rauf & Faik,Между строк,spotify:track:5O8tGb6jfu83hnzVHKthM3,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:18Z,0,Краш,Klava Koka,Краш,spotify:track:02mPTM1usfKo8tsTGEJuuk,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:19Z,0,Цветок,HammAli & Navai,Цветок,spotify:track:1tXQsnFv4derby26HLziph,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:20Z,0,Ты словно целая вселенная,Jah Khalib,KHALIBания души - EP,spotify:track:0IPCdQmv4mC2Z3GLdrBUty,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:21Z,520,Малиновый свет,Lesha Svik,Малиновый свет,spotify:track:1QfaAxo8MQkHZ6jYl9w2j4,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:22Z,0,Сияй,Ramil',Сияй,spotify:track:5ct1HcejSSMlu6vCyWGNXM,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:23Z,0,Если тебе будет грустно,Rauf & Faik,Если тебе будет грустно,spotify:track:3UQSF4LRAqmoJmjXnuOle2,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:25Z,720,Прятки,HammAli & Navai,Прятки,spotify:track:5a7OCEcoQQ57l2xhWChk1T,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:25Z,0,Я хочу,Grivina,Я хочу,spotify:track:2VCah7AThGKI2pCnLkrSOQ,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:27Z,0,Океан,Mari Kraimbrery,Океан,spotify:track:5GyWBPMYBdFe2AvTodCiz5,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:28Z,0,Никотин,Gunwest,Никотин,spotify:track:4mJ2nynF92oq5DYEFCfpqQ,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:29Z,0,Под фонарём,RASA,Под фонарём,spotify:track:68GY9UHcYjpO0GeRcTii0E,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:28:33Z,2012,А если это любовь?,HammAli & Navai,А если это любовь?,spotify:track:1ose449N3hm96087FUw3Hl,,,,,,,,fwdbtn,backbtn,False,False,False,,False
2021-03-01T06:30:47Z,132285,Под фонарём,RASA,Под фонарём,spotify:track:68GY9UHcYjpO0GeRcTii0E,,,,,,,,backbtn,fwdbtn,False,False,False,,False
2021-03-01T06:30:49Z,1044,А если это любовь?,HammAli & Navai,А если это любовь?,spotify:track:1ose449N3hm96087FUw3Hl,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:30:50Z,0,Розовое вино,Eldzhey,Розовое вино,spotify:track:2gcFOhxQOqAx1OABnxvUZ4,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T06:30:51Z,0,Ананасовый сироп,Natan,Ананасовый сироп,spotify:track:3plxMEZjDgAaGUnkdJCdaD,,,,,,,,fwdbtn,backbtn,False,False,False,,False
2021-03-01T09:45:58Z,108640,Розовое вино,Eldzhey,Розовое вино,spotify:track:2gcFOhxQOqAx1OABnxvUZ4,,,,,,,,backbtn,logout,False,False,False,,False
2021-03-01T09:47:56Z,70326,Papaoutai,Stromae,racine carrée,spotify:track:34dx8DACTJsc3rsJdaEIQw,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:50:00Z,120827,Papaoutai,Jewels & Dreams,We All Got Bruises,spotify:track:0AedzgfOnPvVCpbLneBlfy,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:51:02Z,0,Моя голова винтом (My head is spinning like a screw),kostromin,Моя голова винтом (My head is spinning like a screw),spotify:track:4KrhaZm4JRkNO4HRdLvJIG,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:51:02Z,55995,drivers license,Olivia Rodrigo,drivers license,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:51:22Z,19473,Моя голова винтом (My head is spinning like a screw),kostromin,Моя голова винтом (My head is spinning like a screw),spotify:track:4KrhaZm4JRkNO4HRdLvJIG,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:51:34Z,8380,UFO LUV,GONE.Fludd,LIL CHILL,spotify:track:2DYfqhLc12IFOsIvXzV1Ma,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:51:34Z,0,DREAM GARDEN,GONE.Fludd,LIL CHILL,spotify:track:74o5f4wJzUDiSocnBrcJrq,,,,,,,,clickrow,fwdbtn,False,False,False,,False
2021-03-01T09:52:17Z,38563,CHILL,GONE.Fludd,LIL CHILL,spotify:track:1P0mPfVu25ty2MBmCZRQfK,,,,,,,,fwdbtn,endplay,False,False,False,,False
2021-03-01T09:52:40Z,18263,Monday,ROCKET,Monday,spotify:track:1AuvZZkmzlsArfACRNk97B,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:54:27Z,108242,Снова я напиваюсь,SLAVA MARLOW,Снова я напиваюсь,spotify:track:18t2lAzaHW2bJomYeyzrpy,,,,,,,,clickrow,trackdone,False,False,False,,False
2021-03-01T09:54:32Z,4088,СОК,GONE.Fludd,LIL CHILL,spotify:track:1W29GI7spu1RKE8mzCoRbx,,,,,,,,trackdone,endplay,False,False,False,,False
2021-03-01T09:56:20Z,105922,WITHOUT YOU,The Kid LAROI,F*CK LOVE (SAVAGE),spotify:track:27OeeYzk6klgBh83TSvGMA,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:57:13Z,51072,This Will Be (An Everlasting Love) - 2003 Remaster,Natalie Cole,Natalie Cole Anthology,spotify:track:241RmK77gecJ1y7jOoQ5lu,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:57:45Z,7880,Mystery Lady (feat. Don Toliver),Masego,Mystery Lady (feat. Don Toliver),spotify:track:2Ee9amLUslOwgoJWZEpSSD,,,,,,,,clickrow,endplay,False,False,False,,False
2021-03-01T09:57:59Z,13115,Медина,Jah Khalib,E.G.O.,spotify:track:2ZTwEA73OreT35Nm0mjCkj,,,,,,,,clickrow,fwdbtn,False,False,False,,False
2021-03-01T09:58:09Z,7401,Сердце,Dante,Молекулы,spotify:track:76sPK0iuTVpNYtANzOXQpm,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T09:58:20Z,8304,Мами,ГИВМИК,Мами,spotify:track:0UDfLXxn3nLCaISQv3Cstq,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2021-03-01T10:01:22Z,182400,Листок,Xcho,CROSS,spotify:track:5tOoERyjgjLDjoWg0NEpIr,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2021-03-01T10:04:43Z,200761,Вечера,Rauf & Faik,Я люблю тебя,spotify:track:35f9xdHwGxEgabSHLkBYif,,,,,,,,trackdone,trackdone,False,False,False,,False
2021-03-01T10:08:39Z,235358,Второй том,Santiz,52 Герца,spotify:track:4iyVKQrY6JqthLaNErackg,,,,,,,,trackdone,trackdone,False,False,False,,False
2021-03-01T10:09:20Z,37821,Кроссы,ELMAN,Кроссы,spotify:track:0yBSKXapdh1zexdgwLXGvU,,,,,,,,trackdone,fwdbtn,False,False,False,,False
